549	665
1049	331
84	39
31	17
150	61
660	21
84	34
58	28
1269	373
761	163
223	149
820	337
525	143
741	294
975	528
1508	776
223	471
1	1
589	1
45	2
1122	2
3	3
4	3
4	3
94	3
94	3
94	3
94	3
94	3
94	3
94	3
94	3
94	3
331	3
123	3
123	3
94	3
318	3
957	3
331	3
94	3
1135	3
94	3
195	3
3	3
4	3
4	3
6	4
845	4
845	4
6	4
227	5
621	5
1147	5
10	6
18	7
2	7
2	7
244	7
245	7
658	7
971	7
5	7
245	7
1275	7
18	7
20	8
21	9
478	9
683	9
789	9
316	9
22	10
22	10
23	11
30	11
200	11
419	11
753	11
1015	11
1084	11
24	12
26	13
156	13
671	13
27	14
235	14
27	14
489	14
490	14
28	15
257	15
29	16
911	16
665	16
1491	16
1299	17
36	18
316	18
349	18
37	19
1027	19
923	19
1051	19
1457	19
44	20
592	20
51	21
52	22
466	22
632	22
916	22
1182	22
1525	22
53	23
54	24
936	24
1076	24
844	24
55	25
316	25
316	25
56	26
558	26
57	27
297	28
101	28
1136	28
1223	28
61	29
84	29
630	29
911	29
859	29
78	30
169	30
229	30
241	30
173	30
698	30
715	30
78	30
87	30
959	30
229	30
1232	30
1364	30
1425	30
79	31
80	32
306	32
517	32
749	32
800	32
306	32
83	33
409	33
807	33
1123	33
1158	33
409	33
90	34
94	34
259	34
259	34
259	34
259	34
259	34
259	34
259	34
259	34
259	34
260	34
259	34
259	34
259	34
259	34
84	34
726	34
259	34
808	34
804	34
607	34
1142	34
1448	34
640	35
1030	35
86	36
129	36
130	36
131	36
132	36
133	36
86	36
109	36
258	36
570	36
173	36
918	36
1064	36
525	36
1200	36
213	36
1428	36
1464	36
524	36
87	37
87	37
351	37
395	37
444	37
602	37
444	37
1012	37
1077	37
1132	37
89	38
216	38
393	38
21	39
84	39
93	41
233	41
93	41
1267	41
95	42
608	42
673	42
297	42
772	42
583	42
1308	42
1357	42
1461	42
96	43
1109	43
1537	43
97	44
51	44
655	44
98	45
1179	45
175	45
104	46
105	47
109	48
309	48
731	48
991	48
750	48
440	49
237	49
785	49
1180	49
1219	49
1285	49
123	50
124	51
134	51
1197	51
1203	51
1242	51
31	52
473	52
125	53
126	54
127	54
128	56
134	57
135	58
258	58
613	58
123	58
333	58
830	58
784	58
1319	58
136	59
1117	59
1248	59
638	59
1429	59
148	60
81	60
672	60
791	60
853	60
1239	60
151	62
423	62
1187	62
152	63
2	63
153	64
1459	64
154	65
155	66
158	67
123	68
